time_s,rppg_sync
0.04,0.033931892
30.04,-0.047623622
60.04,0.149450357
90.04,-0.03692716
120.04,-0.026252513
150.04,0.014671464
180.04,0.042905633
210.04,-0.003830722
240.04,-0.110620233
270.04,-0.082483166
300.04,0.015170567
330.04,0.005917337
360.04,
390.04,0.010170241
420.04,-0.016218869
450.04,-0.316601657
480.04,0.057969449
510.04,-0.047124603
540.04,-0.139176373
570.04,
600.04,
630.04,0.004100856
660.04,0.006857677
690.04,-0.036737726
720.04,0.001799533
750.04,0.264205481
780.04,-0.000535171
810.04,0.000868549
840.04,-0.167446585